# Lepton 1 Charge, Lepton 2 Charge, Lepton 3 Charge, Lepton 4 Charge, Lepton 1 Type, Lepton 2 Type, Lepton 3 Type, Lepton 4 Type, Lepton 1 E, Lepton 2 E, Lepton 3 E, Lepton 4 E, Lepton 1 pt, Lepton 2 pt, Lepton 3 pt, Lepton 4 pt, Lepton 1 eta, Lepton 2 eta, Lepton 3 eta, Lepton 4 eta, Lepton 1 phi, Lepton 2 phi, Lepton 3 phi, Lepton 4 phi
1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,1.100000000000000000e+01,1.300000000000000000e+01,1.100000000000000000e+01,1.100000000000000000e+01,1.575111250000000000e+05,4.739799609375000000e+04,3.280944531250000000e+04,2.598437304687500000e+04,5.593736718750000000e+04,2.954140039062500000e+04,2.238159960937500000e+04,7.205318359375000000e+03,-1.695275664329528809e+00,-1.050527453422546387e+00,-9.312887191772460938e-01,1.956020832061767578e+00,-9.459596872329711914e-01,2.549790859222412109e+00,7.330631017684936523e-01,2.650255680084228516e+00
-1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,1.100000000000000000e+01,1.300000000000000000e+01,1.100000000000000000e+01,1.300000000000000000e+01,4.890944140625000000e+04,2.942643750000000000e+04,1.910215429687500000e+04,1.169347460937500000e+04,3.949978515625000000e+04,2.444310156250000000e+04,1.871754882812500000e+04,1.169200585937500000e+04,-6.772305965423583984e-01,-6.281620264053344727e-01,-2.023754417896270752e-01,1.302155572921037674e-02,-2.395543336868286133e+00,-3.025473594665527344e+00,-1.760779500007629395e+00,-1.880657911300659180e+00
1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,1.100000000000000000e+01,1.300000000000000000e+01,1.639083281250000000e+05,5.096419140625000000e+04,1.021398925781250000e+04,8.745353515625000000e+03,5.811200781250000000e+04,3.762501562500000000e+04,9.331230468750000000e+03,8.709875000000000000e+03,1.697063446044921875e+00,8.189759254455566406e-01,-4.316190779209136963e-01,-8.941421657800674438e-02,-6.437650918960571289e-01,-2.506625890731811523e+00,-1.966292500495910645e+00,-1.851036190986633301e+00
-1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.300000000000000000e+01,1.100000000000000000e+01,1.300000000000000000e+01,1.300000000000000000e+01,1.004266171875000000e+05,2.602940234375000000e+04,1.910283593750000000e+04,1.747119726562500000e+04,3.813833984375000000e+04,9.698893554687500000e+03,8.817567382812500000e+03,7.778112304687500000e+03,-1.623176097869873047e+00,-1.643691301345825195e+00,-1.408112883567810059e+00,-1.448666810989379883e+00,2.051210403442382812e+00,-9.905490279197692871e-01,-1.176223158836364746e+00,1.576646089553833008e+00
1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,1.100000000000000000e+01,1.300000000000000000e+01,1.100000000000000000e+01,1.300000000000000000e+01,8.154644531250000000e+04,5.770686328125000000e+04,3.612603515625000000e+04,1.046157031250000000e+04,8.053532031250000000e+04,1.278084179687500000e+04,1.170098925781250000e+04,8.563443359375000000e+03,1.582964211702346802e-01,2.188079118728637695e+00,1.793164491653442383e+00,6.540032625198364258e-01,-8.092195987701416016e-01,3.004311084747314453e+00,2.808484315872192383e+00,-2.593987703323364258e+00
-1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,1.100000000000000000e+01,1.100000000000000000e+01,1.769015312500000000e+05,4.198532812500000000e+04,4.967044921875000000e+04,2.134091406250000000e+04,4.885529296875000000e+04,3.357257031250000000e+04,2.641450781250000000e+04,2.124878710937500000e+04,1.960240244865417480e+00,-6.939256191253662109e-01,1.244990706443786621e+00,9.308562427759170532e-02,-1.857357740402221680e+00,1.895597457885742188e+00,-6.693946123123168945e-01,7.969264388084411621e-01
1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,1.100000000000000000e+01,1.300000000000000000e+01,1.300000000000000000e+01,1.100000000000000000e+01,1.254700234375000000e+05,6.301805078125000000e+04,6.976401562500000000e+04,1.832422656250000000e+04,6.706997656250000000e+04,5.708363671875000000e+04,3.571053515625000000e+04,1.155635742187500000e+04,1.238883852958679199e+00,4.521183967590332031e-01,1.289741873741149902e+00,-1.035385251045227051e+00,-2.648561000823974609e+00,-7.809037566184997559e-01,1.574509263038635254e+00,5.964236855506896973e-01
-1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.300000000000000000e+01,1.300000000000000000e+01,1.300000000000000000e+01,1.300000000000000000e+01,2.212264531250000000e+05,6.457172265625000000e+04,1.011846093750000000e+05,3.877297656250000000e+04,5.994451953125000000e+04,5.751273828125000000e+04,3.897827343750000000e+04,3.500964062500000000e+04,-1.980031967163085938e+00,4.905193448066711426e-01,-1.607737183570861816e+00,4.596038162708282471e-01,-2.324887514114379883e+00,-3.087058067321777344e+00,1.616162300109863281e+00,7.040821015834808350e-02
1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,1.300000000000000000e+01,1.100000000000000000e+01,1.100000000000000000e+01,1.300000000000000000e+01,1.001112343750000000e+05,7.172278125000000000e+04,3.034793554687500000e+04,2.196767773437500000e+04,5.121367187500000000e+04,1.698808789062500000e+04,1.080381933593750000e+04,8.628084960937500000e+03,-1.290444135665893555e+00,-2.119113206863403320e+00,-1.692670702934265137e+00,-1.586674571037292480e+00,-3.770840764045715332e-01,2.773192882537841797e+00,2.876044034957885742e+00,-2.961349010467529297e+00
1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,1.300000000000000000e+01,1.300000000000000000e+01,1.639740156250000000e+05,2.209224218750000000e+05,6.521715625000000000e+04,4.870184765625000000e+04,6.328938671875000000e+04,4.643334765625000000e+04,1.284411328125000000e+04,1.104270898437500000e+04,1.605622172355651855e+00,2.241709470748901367e+00,2.308141946792602539e+00,2.163983345031738281e+00,3.082247972488403320e+00,-5.329427123069763184e-01,7.626037597656250000e-01,2.194178998470306396e-01
-1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,1.100000000000000000e+01,1.100000000000000000e+01,7.078827343750000000e+04,5.037844531250000000e+04,3.979895312500000000e+04,6.399467968750000000e+04,6.960621875000000000e+04,4.555446093750000000e+04,3.455184765625000000e+04,2.665802734375000000e+04,-1.840337067842483521e-01,-4.562388658523559570e-01,5.443649291992187500e-01,-1.522344350814819336e+00,2.516023635864257812e+00,1.585973143577575684e+00,-1.962652444839477539e+00,1.084686040878295898e+00
-1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,1.300000000000000000e+01,1.300000000000000000e+01,1.386408906250000000e+05,2.452934570312500000e+04,1.662741796875000000e+04,1.445819140625000000e+04,1.380003593750000000e+05,2.366036914062500000e+04,1.614138964843750000e+04,1.404139648437500000e+04,-9.631079435348510742e-02,-2.702015340328216553e-01,-2.447045296430587769e-01,-2.429419010877609253e-01,2.065702915191650391e+00,6.007671952247619629e-01,1.277233481407165527e+00,1.280577421188354492e+00
-1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01,1.300000000000000000e+01,1.300000000000000000e+01,1.398787968750000000e+05,2.421733789062500000e+04,2.790952734375000000e+04,3.159812890625000000e+04,9.541832031250000000e+04,2.043454687500000000e+04,1.886347460937500000e+04,1.403983007812500000e+04,9.313275814056396484e-01,5.994533896446228027e-01,-9.438974261283874512e-01,-1.450868964195251465e+00,2.824417114257812500e+00,-2.935098111629486084e-01,-1.838000677525997162e-02,-1.304346472024917603e-01
-1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.300000000000000000e+01,1.100000000000000000e+01,1.300000000000000000e+01,1.100000000000000000e+01,1.387899531250000000e+05,1.967581250000000000e+05,7.751982031250000000e+04,5.338366015625000000e+04,7.354083593750000000e+04,6.872341406250000000e+04,4.406106640625000000e+04,4.135693750000000000e+04,-1.249266624450683594e+00,-1.713035345077514648e+00,-1.165309429168701172e+00,-7.452636957168579102e-01,-1.080777645111083984e+00,-2.913606882095336914e+00,4.518439471721649170e-01,1.752874493598937988e+00
